prompts,answers
"QUESTION19) 제적사유에 해당하지 않는 것은?
(A) 수업료 기타 납입금을 소정 기일 내에 납입하지 아니한 자
(B) 성적이 불량한 자
(C) 타교에 입학한 자
(D) 수업의 6분의 1을 결석한 자",(D)
"QUESTION20) 1학점의 기준은?
(A) 1학기간 15시간 이상의 수업
(B) 1학기간 10시간 이상의 수업
(C) 1학기간 20시간 이상의 수업
(D) 1학기간 21시간 이상의 수업",(A)
"QUESTION4389) Which of the boys on the TV show 'My Three Sons' is adopted?
(A) Danny
(B) Sam
(C) Charlie
(D) Ernie
(E) Fred
(F) Robbie
(G) Chip
(H) Billy
(I) Steve
(J) Mike",(D)
"QUESTION8606) The cornea of the eye is a convex mirror, and the high-light usually seen in it is a reflected image. Suppose that a circular object 20 cm in diameter is located 40 cm from the eye. If the radius of the cornea is 0.8 cm, how far is the virtual image from the cornea and what is its size?
(A) 6 mm inside the cornea, 3 mm in diameter
(B) 3 mm inside the cornea, 1 mm in diameter
(C) 5 mm outside the cornea, 1.5 mm in diameter
(D) 4 mm outside the cornea, 2 mm in diameter
(E) 5 mm inside the cornea, 2 mm in diameter
(F) 5 mm inside the cornea, 2.5 mm in diameter
(G) 4 mm inside the cornea, 2 mm in diameter
(H) 8 mm inside the cornea, 2.5 mm in diameter
(I) 4 mm inside the cornea, 3 mm in diameter
(J) 2 mm outside the cornea, 2 mm in diameter",(G)
"QUESTION8976) What is utility? What is marginal utility?
(A) Utility is the measure of usefulness or pleasure. Marginal utility is the decrease in usefulness or pleasure as more units are consumed.
(B) Utility is the quantity of a product. Marginal utility is the increase in quantity which a consumer gets from an additional unit of a specific good.
(C) Utility is the power to satisfy a want. Marginal utility is the extra utility, or satisfaction, which a consumer derives from an additional unit of a specific good.
(D) Utility is the duration of time a product can be used. Marginal utility is the increase in usage time with each additional unit consumed.
(E) Utility is the measure of scarcity of a good. Marginal utility is the change in scarcity when one more unit of the good is produced.
(F) Utility is the weight of a product. Marginal utility is the additional weight a consumer perceives when purchasing an extra unit of a specific good.
(G) Utility is the power to make a good. Marginal utility is the extra power which a consumer derives from an additional unit of a specific good.
(H) Utility is the total satisfaction received from consuming a certain amount of a good. Marginal utility is the satisfaction gained from the last unit consumed, holding the level of consumption constant.
(I) Utility is the price of a good. Marginal utility is the increase in price which a consumer pays for an additional unit of a specific good.
(J) Utility is the demand for a product. Marginal utility is the change in demand as the supply of a specific good increases.",(C)
"QUESTION5103) The daily protein intake of a typical American diet consists of meat, dairy products and eggs. Its average net protein utilization (NPU) is 70. If the daily protein requirement of the body is 0.3 g per pound of body weight, what is the actual protein requirement for an average American?
(A) 100 g of protein per day
(B) 70 g of protein per day
(C) 64.5 g of protein per day
(D) 0.43 g of protein per day
(E) 35 g of protein per day
(F) 200 g of protein per day
(G) 80 g of protein per day
(H) 150 g of protein per day
(I) 120 g of protein per day
(J) 50 g of protein per day",(C)
"QUESTION8212) For matrix A = [[3, 1, 1], [2, 4, 2], [1, 1, 3]], what are its eigen values?
(A) [3, 1]
(B) [2, 6]
(C) [1, 4, 5]
(D) [1, 2]
(E) [0, 2, 4]
(F) [4, 2, 3]
(G) [3, 4, 5]
(H) [3, 4]
(I) [6, 2, 3]
(J) [5, 3, 1]",(B)
"QUESTION5749) An example of a categorical grant would be
(A) money given by the federal government to states to fund military defense
(B) money loaned by the federal government to a state to prevent it from bankruptcy
(C) money given by the federal government to states to fund Head Start early education programs
(D) money loaned by the federal government to states for infrastructure projects
(E) money given by the federal government to states without conditions
(F) money loaned by the federal government to a private company to prevent it from failing
(G) money given by the federal government to cities with no specific use required",(C)
"QUESTION5130) Which of the following statements about glucose metabolism is correct?
(A) The end-product of glycolysis in all cells is glucose
(B) Glycolysis doesn't require any enzymes
(C) In glycolysis, glucose is cleaved into two three-carbon products
(D) Glucose metabolism only occurs in the presence of oxygen
(E) In glycolysis, glucose is converted into two molecules of fructose
(F) Glycolysis requires ATP only
(G) Glucagon increases the rate of glycolysis
(H) Glycolysis requires NADP+",(C)
"QUESTION11435) In binary number system the first digit (bit) from right to left is called as
(A) First Significant Bit
(B) MSB, Most Significant Bit
(C) LSB, Least Significant Bit
(D) Last Bit
(E) Binary Digit
(F) Initial Bit
(G) Binary Significant Bit
(H) Bit Zero
(I) First Bit",(C)
"QUESTION6714) a) If you are holding interest bearing bonds (Z), the interest rate is (i), and the cost of transactions is (b), what is the optimal number of transactions to make (n) so as to maximize the amount of interest received from the bonds? b) If you have $10,000 in bonds, the interest rate is 10%, the cost of transactions is $5, what would be the optimal amount of transactions?
(A) 10 transactions
(B) 8 transactions
(C) 6 transactions
(D) 30 transactions
(E) 5 transactions
(F) 15 transactions
(G) 12 transactions
(H) 25 transactions
(I) 20 transactions
(J) 18 transactions",(A)
"QUESTION3516) The “Lion Man” from Hohlenstein-Stadel cave is an example of:
(A) mobiliary art.
(B) long-distance trade of exotic raw materials.
(C) parietal art.
(D) a Venus figurine.",(A)
